sim_step,simulation_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_mean_queue_length,queue_length_0,queue_length_1,queue_length_10,queue_length_11,queue_length_12,queue_length_13,queue_length_14,queue_length_15,queue_length_2,queue_length_3,queue_length_4,queue_length_5,queue_length_6,queue_length_7,queue_length_8,queue_length_9
5.0,25.0,0,0.0,0.0,12.74481078524727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,50.0,0,0.0,0.0,12.859952121912062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,75.0,2,2.0,0.046511627906976744,11.08368982608779,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20.0,100.0,10,36.0,0.6923076923076923,9.24123825653652,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0
25.0,125.0,9,46.0,0.6666666666666666,9.099430688132825,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0
30.0,150.0,8,25.0,0.3246753246753247,8.76817811338485,0,1,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0
35.0,175.0,19,87.0,0.9560439560439561,8.980604319458099,0,3,5,0,0,0,0,0,0,0,0,5,0,5,1,0,0
40.0,200.0,16,98.0,0.9333333333333333,8.813010845451272,0,3,0,0,0,0,2,0,0,0,2,1,0,6,2,0,0
45.0,225.0,18,120.0,1.0256410256410255,8.141460713220136,0,1,2,0,0,0,5,0,0,0,0,2,0,6,0,0,2
50.0,250.0,31,150.0,1.1278195488721805,7.433307302994763,0,2,6,0,0,0,11,0,0,1,0,4,0,2,0,0,5
55.0,275.0,37,261.0,1.8,7.409816738114807,0,3,10,0,0,1,13,0,0,3,0,0,0,2,0,1,4
60.0,300.0,32,281.0,1.7672955974842768,7.8045668542562145,0,1,10,0,0,0,7,0,0,5,0,1,0,4,1,3,0
65.0,325.0,16,115.0,0.6534090909090909,9.12246968146227,0,1,4,0,0,0,0,0,0,0,0,6,0,0,0,5,0
70.0,350.0,30,166.0,0.8556701030927835,8.578276288387196,0,3,2,1,0,3,0,0,1,0,0,10,1,0,1,7,1
75.0,375.0,39,256.0,1.2248803827751196,7.539582355008924,0,7,3,4,0,1,3,1,1,0,1,10,0,0,4,2,2
80.0,400.0,46,310.0,1.4155251141552512,6.400524537728684,0,4,2,4,0,1,7,6,4,0,3,10,1,1,1,0,2
85.0,425.0,58,405.0,1.7307692307692308,7.041265938375745,0,4,6,0,0,4,11,11,6,1,0,4,1,6,2,0,2
90.0,450.0,51,380.0,1.596638655462185,7.357983461081307,0,9,11,0,0,0,6,6,6,4,0,1,1,5,2,0,0
95.0,475.0,35,233.0,0.9748953974895398,7.30323478536634,0,5,6,0,1,0,5,0,6,2,4,3,1,2,0,0,0
100.0,500.0,39,193.0,0.772,7.878061316372629,0,3,3,0,5,0,8,0,0,0,2,7,2,7,1,1,0
105.0,525.0,47,250.0,0.9578544061302682,7.642023397597647,0,4,6,1,11,0,3,0,1,0,1,6,2,6,6,0,0
110.0,550.0,41,156.0,0.5735294117647058,7.168075644898511,0,2,3,6,6,1,8,0,6,1,1,4,0,1,0,0,2
115.0,575.0,63,310.0,1.1272727272727272,6.973996211877612,0,3,8,6,0,2,8,0,12,5,0,4,0,6,0,3,6
120.0,600.0,76,490.0,1.7753623188405796,6.552264585174215,0,6,12,2,0,4,4,0,18,8,0,2,0,6,0,4,10
125.0,625.0,75,544.0,2.007380073800738,6.700050629929972,0,8,12,1,0,7,0,0,17,6,2,5,1,4,4,1,7
130.0,650.0,60,483.0,1.7563636363636363,7.052212832702085,0,4,12,1,2,3,0,0,7,0,8,7,3,4,9,0,0
135.0,675.0,57,362.0,1.3115942028985508,6.854098972828257,0,3,9,3,7,6,0,1,0,0,11,4,2,3,6,2,0
140.0,700.0,57,325.0,1.1775362318840579,6.764425031038215,0,3,5,1,13,9,0,0,4,1,5,2,2,2,2,6,2
145.0,725.0,57,347.0,1.2304964539007093,6.9029586823858455,0,0,6,0,14,9,2,0,1,5,1,2,2,6,3,4,2
150.0,750.0,59,305.0,1.055363321799308,7.474226095676422,0,2,1,0,5,3,6,0,5,5,4,3,4,11,1,2,7
155.0,775.0,70,404.0,1.397923875432526,7.188693303601808,0,4,6,0,2,3,5,0,7,1,7,4,4,6,7,2,12
160.0,800.0,78,588.0,2.1538461538461537,7.089920181825942,0,5,12,0,2,4,1,0,8,5,2,5,4,2,12,4,12
165.0,825.0,56,506.0,1.9386973180076628,6.479251371168566,0,1,12,0,1,2,1,0,0,7,3,2,0,6,8,1,12
170.0,850.0,55,477.0,1.86328125,7.000596811587053,0,2,12,1,1,7,1,2,0,1,5,6,0,9,0,2,6
175.0,875.0,52,381.0,1.4941176470588236,7.540959189375216,0,3,6,2,5,8,0,5,2,1,0,9,0,6,0,5,0
180.0,900.0,59,339.0,1.2988505747126438,7.223310879636326,0,1,1,2,3,3,1,11,3,4,2,3,2,10,5,6,2
185.0,925.0,55,362.0,1.371212121212121,7.713950963842657,0,3,1,0,0,1,4,7,3,1,5,1,3,10,10,0,6
190.0,950.0,66,506.0,1.9461538461538461,7.095056053603877,0,5,2,0,0,4,3,5,3,0,8,2,3,10,7,3,11
195.0,975.0,72,525.0,2.1,6.119026590044902,0,0,7,0,0,0,6,9,3,8,5,1,3,5,7,4,14
200.0,1000.0,65,399.0,1.6352459016393444,5.8090370652848975,0,0,12,0,0,1,12,4,0,6,0,5,0,6,8,2,9
205.0,1025.0,53,303.0,1.16988416988417,7.4602792110692695,0,0,6,0,0,5,13,2,0,3,0,8,0,7,5,4,0
210.0,1050.0,43,248.0,0.9018181818181819,7.689547419839508,0,1,1,0,6,4,3,5,0,6,0,8,2,2,1,4,0
215.0,1075.0,46,295.0,1.0424028268551238,7.6958775738259995,0,0,1,2,5,2,5,1,0,1,0,8,1,6,8,4,2
220.0,1100.0,59,452.0,1.6496350364963503,7.273552502670467,0,2,5,6,0,5,5,1,0,2,2,8,2,7,8,4,2
225.0,1125.0,69,519.0,1.9438202247191012,6.610163480736869,0,5,5,12,0,3,6,5,0,6,4,2,2,7,3,4,5
230.0,1150.0,72,415.0,1.554307116104869,5.978346684856029,0,1,1,18,0,0,6,4,1,9,6,4,1,5,6,0,10
235.0,1175.0,62,430.0,1.5985130111524164,6.4563430009092535,0,1,0,12,0,0,10,2,4,8,0,6,2,3,7,0,7
240.0,1200.0,58,318.0,1.1236749116607774,7.271353362349803,0,4,0,2,5,1,11,5,7,8,0,5,3,5,2,0,0
245.0,1225.0,53,301.0,1.0636042402826855,7.142938210803465,0,6,1,1,12,3,6,5,1,4,2,2,3,5,0,1,1
250.0,1250.0,68,423.0,1.4894366197183098,6.583587833116452,0,2,2,3,11,4,12,0,0,7,6,2,3,5,2,7,2
255.0,1275.0,72,452.0,1.5640138408304498,6.390662073723847,0,1,4,6,7,0,12,0,0,10,12,2,2,0,6,8,2
260.0,1300.0,93,762.0,2.627586206896552,6.532326992023697,0,3,5,13,11,3,12,0,0,4,12,5,3,2,6,8,6
265.0,1325.0,78,679.0,2.278523489932886,5.9177209435424425,0,0,2,15,7,3,6,0,0,3,6,8,4,4,0,8,12
270.0,1350.0,80,609.0,1.98371335504886,6.502707077886445,0,2,2,16,4,0,2,0,5,7,3,10,1,5,1,10,12
275.0,1375.0,86,851.0,2.659375,7.066219561836097,0,3,2,9,7,4,0,2,5,8,4,7,3,3,5,12,12
280.0,1400.0,72,513.0,1.6081504702194358,5.913310682143902,0,3,1,2,6,5,3,3,0,5,4,2,3,9,6,14,6
285.0,1425.0,65,330.0,1.0443037974683544,6.1129531412701255,0,0,4,6,6,2,8,3,0,4,8,1,2,5,6,6,4
290.0,1450.0,77,483.0,1.523659305993691,7.433911002288889,0,3,5,12,12,0,8,2,0,4,14,1,6,0,0,4,6
295.0,1475.0,76,576.0,1.761467889908257,7.004581466903901,0,5,1,15,12,1,2,2,0,4,14,1,7,0,1,4,7
300.0,1500.0,90,687.0,2.0385756676557865,6.221895187442725,0,8,1,15,7,5,3,2,6,4,9,0,3,6,7,7,7
305.0,1525.0,92,708.0,2.1197604790419162,6.028158916742368,0,3,1,9,3,5,9,2,6,5,11,3,7,7,7,7,7
310.0,1550.0,82,515.0,1.5701219512195121,6.267515807208862,0,0,1,0,3,2,15,7,6,1,11,5,12,7,7,2,3
315.0,1575.0,85,679.0,2.115264797507788,6.83241461519926,0,1,0,0,3,5,19,10,0,4,6,1,12,9,11,3,1
