sim_step,simulation_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_mean_queue_length,queue_length_0,queue_length_1,queue_length_10,queue_length_11,queue_length_12,queue_length_13,queue_length_14,queue_length_15,queue_length_2,queue_length_3,queue_length_4,queue_length_5,queue_length_6,queue_length_7,queue_length_8,queue_length_9
5.0,25.0,0,0.0,0.0,12.928162515665138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,50.0,0,0.0,0.0,13.161709313484339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,75.0,0,0.0,0.0,12.89002860597358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,100.0,1,4.0,0.09302325581395349,11.67517863477539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25.0,125.0,7,21.0,0.38181818181818183,10.846765191596226,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0
30.0,150.0,8,43.0,0.6825396825396826,10.318777526168123,0,2,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0
35.0,175.0,11,54.0,0.675,9.247369794943538,0,1,0,1,0,0,0,0,0,0,5,0,3,1,0,0,0
40.0,200.0,17,82.0,0.8723404255319149,9.898264998784178,0,2,1,2,0,0,0,0,0,0,1,2,7,1,0,0,1
45.0,225.0,16,136.0,1.2592592592592593,9.606989771567877,0,3,1,0,0,0,0,0,0,0,0,4,7,1,0,0,0
50.0,250.0,18,166.0,1.4310344827586208,8.509870450261376,0,1,0,0,0,0,0,0,0,0,0,7,7,0,0,0,3
55.0,275.0,34,305.0,2.2426470588235294,8.456132485588181,0,4,0,1,0,0,0,0,0,5,2,8,7,0,0,2,5
60.0,300.0,26,166.0,1.1066666666666667,8.16118765116567,0,5,0,0,0,1,1,2,0,6,3,3,1,4,0,0,0
65.0,325.0,28,193.0,1.191358024691358,8.048561211195747,0,0,2,0,0,1,1,0,4,9,3,0,0,4,0,4,0
70.0,350.0,42,354.0,2.107142857142857,7.644563867535058,0,1,1,6,2,0,1,0,4,13,5,0,0,4,0,5,0
75.0,375.0,27,223.0,1.2185792349726776,7.4245017166707585,0,2,3,3,1,1,1,1,0,7,1,0,1,4,0,1,1
80.0,400.0,29,117.0,0.6157894736842106,7.8033556638345045,0,2,5,5,0,1,1,0,0,0,0,2,5,0,0,3,5
85.0,425.0,43,244.0,1.196078431372549,8.503248437617316,0,5,0,6,0,0,1,0,0,1,0,4,11,0,0,5,10
90.0,450.0,38,218.0,1.0186915887850467,7.522128358538919,0,7,0,0,0,1,1,1,2,5,0,6,9,1,0,0,5
95.0,475.0,46,257.0,1.1473214285714286,6.689845802393262,0,11,2,0,0,6,1,0,6,9,0,2,0,0,0,4,5
100.0,500.0,51,296.0,1.2813852813852813,7.564288960584433,0,9,5,0,0,0,3,0,11,3,0,0,2,0,4,9,5
105.0,525.0,36,214.0,0.9224137931034483,7.831770439404118,0,3,1,0,0,1,2,0,5,1,0,0,7,2,4,5,5
110.0,550.0,30,94.0,0.4069264069264069,7.697859118679208,0,3,1,6,0,3,0,0,0,1,0,0,8,3,2,2,1
115.0,575.0,53,264.0,1.1379310344827587,7.611651990164288,0,8,1,11,5,0,0,0,0,0,2,0,7,4,5,4,6
120.0,600.0,56,389.0,1.6767241379310345,7.038228460199132,0,6,0,9,5,1,0,1,0,0,0,0,11,4,7,5,7
125.0,625.0,51,351.0,1.4936170212765958,6.736302690674823,0,8,0,1,0,8,0,4,0,4,1,1,12,1,10,0,1
130.0,650.0,62,374.0,1.5454545454545454,7.068336708614648,0,10,0,1,0,4,5,9,0,5,3,1,6,3,7,3,5
135.0,675.0,68,414.0,1.6626506024096386,7.318795499015994,0,9,0,1,0,2,6,11,2,4,0,4,1,3,5,9,11
140.0,700.0,59,427.0,1.6944444444444444,7.075285167017579,0,6,1,1,0,3,0,5,6,5,0,0,2,3,8,8,11
145.0,725.0,50,337.0,1.2813688212927756,7.35809577059925,0,7,4,6,1,3,0,3,5,7,1,0,0,1,2,4,6
150.0,750.0,48,299.0,1.1156716417910448,7.602356407536441,0,3,0,8,7,0,0,5,1,10,1,2,0,0,2,4,5
155.0,775.0,60,381.0,1.41635687732342,7.261306148162215,0,6,0,12,11,2,0,1,1,8,2,1,1,0,4,6,5
160.0,800.0,64,450.0,1.6853932584269662,7.058769449550554,0,11,0,12,6,7,2,6,0,6,4,2,0,0,4,4,0
165.0,825.0,63,467.0,1.7622641509433963,7.003419413946338,0,8,1,6,0,8,6,7,0,7,6,6,0,0,4,0,4
170.0,850.0,47,244.0,0.9138576779026217,6.935123389667409,0,3,4,0,0,3,6,1,0,3,12,2,6,0,2,1,4
175.0,875.0,56,343.0,1.2894736842105263,7.206475050038524,0,3,6,0,0,3,5,1,1,8,13,0,6,1,6,2,1
180.0,900.0,74,463.0,1.7471698113207548,7.054301989340262,0,4,2,2,0,6,6,3,7,11,7,2,0,6,6,7,5
185.0,925.0,63,423.0,1.5962264150943397,6.956235242784213,0,5,0,6,2,0,6,0,5,10,1,6,2,2,0,7,11
190.0,950.0,48,297.0,1.129277566539924,6.912043127571911,0,2,0,6,4,1,1,0,0,5,6,6,3,0,0,9,5
195.0,975.0,62,479.0,1.7740740740740741,7.066635427689843,0,4,0,6,4,7,3,1,0,5,11,1,2,0,2,11,5
200.0,1000.0,65,524.0,1.9194139194139195,7.172307955311512,0,7,0,0,4,6,3,1,0,5,12,1,8,0,1,5,12
205.0,1025.0,49,425.0,1.5625,7.052312166590211,0,8,1,0,0,1,3,0,0,5,6,3,7,2,4,3,6
210.0,1050.0,46,202.0,0.7240143369175627,7.680025551406973,0,6,3,0,0,4,0,5,0,1,3,1,2,8,7,6,0
215.0,1075.0,56,328.0,1.1590106007067138,7.273094944523006,0,1,1,1,0,8,0,10,0,3,6,3,2,7,7,6,1
220.0,1100.0,61,381.0,1.341549295774648,7.19874327776697,0,3,3,5,1,3,0,15,0,3,9,3,1,6,2,5,2
225.0,1125.0,67,503.0,1.7285223367697595,7.549226799882779,0,2,3,5,8,0,0,9,0,1,11,7,2,6,1,6,6
230.0,1150.0,81,700.0,2.3333333333333335,7.669092384804226,0,5,3,5,13,2,0,2,0,2,12,5,4,6,1,9,12
235.0,1175.0,76,780.0,2.6440677966101696,6.724032452863045,0,7,2,3,13,2,0,5,1,2,14,0,8,6,1,6,6
240.0,1200.0,57,416.0,1.4545454545454546,6.785655465158775,0,7,5,0,7,5,0,13,1,0,9,3,4,3,0,0,0
245.0,1225.0,54,351.0,1.2402826855123674,7.67638797020572,0,5,6,0,0,5,0,14,2,5,2,7,0,5,1,2,0
250.0,1250.0,68,428.0,1.470790378006873,6.928065907289357,0,7,3,3,2,7,2,9,6,6,0,2,0,10,4,6,1
255.0,1275.0,75,474.0,1.6067796610169491,5.840859520442318,0,6,1,5,6,9,0,7,12,3,1,2,0,10,5,7,1
260.0,1300.0,89,733.0,2.3798701298701297,6.836582672339601,0,5,1,5,12,5,0,10,13,6,2,7,0,10,5,2,6
265.0,1325.0,93,1081.0,3.39937106918239,7.490333100190174,0,8,2,5,12,0,0,10,13,7,0,5,0,10,5,4,12
270.0,1350.0,72,826.0,2.6056782334384856,6.580657522190174,0,4,5,8,6,0,0,5,13,1,2,3,6,4,1,1,13
275.0,1375.0,92,730.0,2.3248407643312103,6.0895273411682584,0,3,7,7,4,5,0,6,13,4,5,6,11,5,6,3,7
280.0,1400.0,84,621.0,1.9714285714285715,6.489360760880588,0,3,3,4,9,5,0,14,7,6,3,2,5,10,8,5,0
285.0,1425.0,59,355.0,1.1163522012578617,6.485162693419433,0,2,0,1,12,3,0,9,3,2,3,1,0,6,4,10,3
290.0,1450.0,71,409.0,1.2584615384615385,6.9733026998052585,0,5,0,1,12,4,2,2,1,6,6,6,0,7,7,10,2
295.0,1475.0,76,482.0,1.4518072289156627,6.8863793723018265,0,6,0,7,6,1,1,5,1,8,6,6,1,10,12,4,2
300.0,1500.0,75,448.0,1.3658536585365855,6.9598858521645655,0,3,0,8,8,0,0,8,1,2,3,2,7,10,8,7,8
305.0,1525.0,70,333.0,1.021472392638037,6.669578147404944,0,1,1,9,7,3,0,5,1,1,6,3,7,5,8,6,7
310.0,1550.0,70,335.0,1.0182370820668694,6.983615665914836,0,4,2,11,4,7,0,4,1,6,2,0,6,7,8,6,2
315.0,1575.0,77,481.0,1.48,7.075839916882644,0,2,4,11,9,6,0,4,3,7,2,1,6,8,2,12,0
320.0,1600.0,75,421.0,1.2719033232628398,6.359856192452997,0,7,6,7,12,2,2,5,3,1,6,6,0,3,1,12,2
325.0,1625.0,86,424.0,1.2507374631268438,6.27155333109128,0,7,2,8,7,6,2,9,3,1,5,6,2,5,7,9,7
330.0,1650.0,96,625.0,1.8712574850299402,6.39161263930437,0,3,1,9,7,8,1,14,3,1,3,1,6,11,7,11,10
335.0,1675.0,90,624.0,1.8407079646017699,6.174805060444038,0,3,6,8,8,3,1,13,3,1,6,3,1,6,5,9,14
340.0,1700.0,89,530.0,1.5588235294117647,5.948334571686718,0,8,7,9,4,5,0,7,5,1,10,5,1,6,6,5,10
345.0,1725.0,102,626.0,1.8411764705882352,6.294495801576541,0,5,1,9,8,11,0,10,11,4,6,8,7,12,0,10,0
350.0,1750.0,97,684.0,1.9883720930232558,6.016914959766551,0,3,6,6,12,6,0,10,15,7,0,3,6,10,1,11,1
355.0,1775.0,84,478.0,1.3657142857142857,5.9270707204256805,0,6,6,8,7,4,1,5,9,7,1,5,0,7,6,11,1
360.0,1800.0,88,513.0,1.4369747899159664,6.460296935239333,0,9,2,8,8,7,0,2,6,7,2,6,0,7,6,14,4
365.0,1825.0,108,742.0,2.066852367688022,6.165586233061602,0,10,6,4,8,5,2,6,10,12,8,6,0,7,6,11,7
370.0,1850.0,104,700.0,1.9498607242339834,5.433060991814427,0,6,11,7,3,6,2,7,8,12,12,6,0,2,10,7,5
375.0,1875.0,101,733.0,2.0883190883190883,6.036358455431701,0,0,11,12,7,11,0,7,7,12,15,0,1,5,5,8,0
380.0,1900.0,92,673.0,1.9339080459770115,6.453888463509604,0,2,4,12,7,6,0,7,13,6,11,2,7,10,0,4,1
385.0,1925.0,89,560.0,1.5954415954415955,6.4943682069321085,0,5,3,8,3,4,1,7,10,1,4,5,11,16,1,8,2
390.0,1950.0,85,599.0,1.692090395480226,6.520863499181305,0,1,6,8,7,5,7,1,7,2,0,1,11,11,1,13,4
395.0,1975.0,86,538.0,1.5197740112994351,5.953539349166543,0,2,2,4,7,2,12,3,11,6,3,8,5,6,2,9,4
400.0,2000.0,95,606.0,1.7118644067796611,6.415737075283598,0,7,1,4,3,7,6,8,12,4,8,12,0,8,6,5,4
405.0,2025.0,104,849.0,2.4119318181818183,6.693344383326785,0,2,2,7,6,12,0,13,12,6,10,13,2,3,11,5,0
410.0,2050.0,101,947.0,2.721264367816092,6.534772586503027,0,3,2,12,6,7,2,13,8,12,13,7,0,5,6,5,0
415.0,2075.0,80,560.0,1.702127659574468,6.368683166148509,0,3,1,12,6,1,6,7,4,8,10,2,6,6,0,2,6
420.0,2100.0,59,319.0,1.009493670886076,6.782383948244318,0,0,2,2,1,3,3,0,4,6,2,5,11,5,1,3,11
425.0,2125.0,66,451.0,1.4642857142857142,6.91171403433572,0,2,0,2,6,1,5,0,0,10,1,1,11,3,0,7,17
430.0,2150.0,75,491.0,1.594155844155844,6.7849045124873655,0,5,0,2,8,2,11,1,0,7,2,7,5,6,2,5,12
435.0,2175.0,66,353.0,1.1170886075949367,6.24174375084054,0,1,1,2,3,6,8,2,5,6,2,8,0,7,6,7,2
440.0,2200.0,81,426.0,1.335423197492163,6.5353262391132425,0,1,0,0,6,10,2,9,11,12,5,3,1,5,7,9,0
445.0,2225.0,83,563.0,1.7538940809968848,7.175677704882648,0,1,1,5,6,4,6,10,7,12,6,3,6,9,2,4,1
450.0,2250.0,62,428.0,1.3501577287066246,6.787626091662606,0,0,5,6,0,1,3,6,3,12,2,3,3,7,2,4,5
455.0,2275.0,64,516.0,1.702970297029703,6.622536328876838,0,1,7,2,2,3,2,3,3,16,1,3,3,3,2,6,7
460.0,2300.0,62,481.0,1.6195286195286196,6.982155367136119,0,4,2,6,2,2,2,3,0,14,1,1,3,0,6,7,9
465.0,2325.0,54,294.0,0.9607843137254902,7.122232557496416,0,0,1,12,3,6,0,1,2,5,0,1,0,1,10,4,8
470.0,2350.0,82,439.0,1.4161290322580644,6.98059727810135,0,1,4,10,5,12,0,7,7,1,3,1,0,6,14,7,4
475.0,2375.0,91,518.0,1.6444444444444444,6.6031229452712195,0,5,2,8,5,14,2,10,10,2,4,1,1,2,10,9,6
480.0,2400.0,77,516.0,1.648562300319489,6.787590723852337,0,3,4,14,0,6,7,5,5,1,5,2,7,0,0,9,9
485.0,2425.0,77,654.0,2.1302931596091206,7.196117438436933,0,4,4,14,0,5,11,2,5,2,2,3,4,0,0,9,12
490.0,2450.0,64,445.0,1.5397923875432526,6.162070969419971,0,5,0,9,5,3,5,2,5,4,6,0,3,0,0,6,11
495.0,2475.0,66,394.0,1.3873239436619718,6.595239333678118,0,3,1,12,5,6,0,0,8,5,8,1,3,0,6,2,6
500.0,2500.0,71,461.0,1.5469798657718121,7.482314092296441,0,4,6,18,5,6,0,0,7,2,2,1,0,1,8,5,6
505.0,2525.0,61,411.0,1.3344155844155845,7.053159992617432,0,5,5,13,9,3,1,2,5,4,0,0,1,1,4,2,6
510.0,2550.0,66,400.0,1.2578616352201257,7.125401489415436,0,8,1,7,13,2,0,7,5,0,1,2,5,2,7,5,1
515.0,2575.0,74,521.0,1.628125,7.394412288934275,0,6,3,9,14,5,3,8,2,0,3,2,2,2,7,5,3
520.0,2600.0,67,603.0,1.9451612903225806,7.130362273176563,0,4,1,6,14,4,4,4,4,2,1,0,0,0,7,8,8
525.0,2625.0,60,416.0,1.391304347826087,7.229609402763332,0,6,0,7,9,6,2,3,4,1,1,4,0,0,1,7,9
530.0,2650.0,62,353.0,1.1885521885521886,7.543866626183905,0,5,2,12,6,6,5,0,4,5,1,4,0,1,4,2,5
535.0,2675.0,78,482.0,1.6283783783783783,7.2794081162533955,0,5,6,11,7,1,5,4,1,7,0,4,3,5,4,6,9
540.0,2700.0,72,388.0,1.2847682119205297,6.000191182452746,0,8,12,6,3,2,4,6,7,4,2,0,1,2,2,4,9
545.0,2725.0,90,593.0,1.9253246753246753,6.648151931574501,0,12,12,11,8,5,6,6,8,0,4,3,1,0,8,3,3
550.0,2750.0,87,799.0,2.611111111111111,7.333162567817632,0,7,12,12,14,4,6,4,8,0,1,6,2,0,8,3,0
555.0,2775.0,60,588.0,2.006825938566553,7.333190779670191,0,1,6,6,8,7,2,4,2,0,3,7,3,0,8,1,2
560.0,2800.0,43,343.0,1.1993006993006994,7.5449280234296,0,3,3,1,4,7,7,2,0,0,3,1,0,0,8,2,2
565.0,2825.0,55,443.0,1.5016949152542374,8.04486913268066,0,1,5,6,8,3,7,2,0,0,0,1,1,0,11,4,6
570.0,2850.0,62,406.0,1.3443708609271523,7.376097371022975,0,4,7,6,6,4,2,4,3,0,2,1,1,0,10,6,6
575.0,2875.0,59,263.0,0.8651315789473685,7.013783978536037,0,6,6,6,2,7,5,3,8,3,3,0,1,1,2,5,1
580.0,2900.0,61,362.0,1.222972972972973,7.488695306819303,0,0,6,12,2,8,7,5,8,7,0,1,1,0,0,2,2
585.0,2925.0,67,519.0,1.789655172413793,7.493506195253818,0,1,6,12,4,7,7,6,8,6,2,4,0,0,0,2,2
590.0,2950.0,51,282.0,0.986013986013986,6.618941095843755,0,3,2,4,6,12,1,1,7,4,7,1,0,0,0,1,2
595.0,2975.0,57,373.0,1.2906574394463668,7.302621957110507,0,0,5,6,7,12,1,1,3,4,12,2,0,0,1,2,1
600.0,3000.0,66,519.0,1.7474747474747474,7.373360470666623,0,2,8,3,8,12,1,1,0,2,9,2,0,1,5,6,6
605.0,3025.0,78,723.0,2.3782894736842106,6.847237974935758,0,4,11,6,8,19,1,0,2,4,2,0,0,1,5,7,8
610.0,3050.0,73,664.0,2.155844155844156,6.922928720595074,0,4,7,6,8,18,1,6,2,6,3,3,0,0,2,3,4
615.0,3075.0,49,304.0,0.9806451612903225,7.13373312988923,0,0,0,0,7,10,6,7,2,4,2,4,0,0,2,0,5
620.0,3100.0,54,337.0,1.080128205128205,7.724587860984894,0,1,0,0,5,7,7,7,4,5,9,1,0,0,1,2,5
625.0,3125.0,64,457.0,1.4934640522875817,7.558600324424856,0,2,4,2,4,8,7,2,7,5,14,2,2,0,1,3,1
630.0,3150.0,63,356.0,1.2067796610169492,6.4831470128805035,0,0,6,4,4,4,1,1,12,1,10,2,8,0,1,3,6
635.0,3175.0,70,415.0,1.4212328767123288,7.2112782302005645,0,1,9,6,0,6,0,1,9,5,2,2,12,0,0,6,11
640.0,3200.0,59,401.0,1.4169611307420495,7.18214697624353,0,4,4,6,0,9,2,2,5,5,5,0,7,0,4,1,5
645.0,3225.0,56,350.0,1.25,7.349505940322946,0,0,1,6,2,16,5,6,2,2,3,1,6,2,4,0,0
650.0,3250.0,69,408.0,1.4623655913978495,7.644412681876533,0,3,1,3,7,11,5,7,7,8,8,2,7,0,0,0,0
655.0,3275.0,64,450.0,1.601423487544484,7.234849075707372,0,5,2,2,9,3,1,2,11,8,11,1,7,0,0,0,2
660.0,3300.0,73,499.0,1.7447552447552448,6.676542970669201,0,4,9,6,3,4,6,3,10,8,5,1,7,2,0,1,4
665.0,3325.0,62,390.0,1.3356164383561644,6.679116519370503,0,4,11,12,1,2,6,9,3,2,2,1,2,0,1,1,5
670.0,3350.0,67,436.0,1.5298245614035089,7.07908857312865,0,6,8,10,5,8,0,9,3,2,2,1,3,0,4,0,6
675.0,3375.0,38,238.0,0.8654545454545455,7.56260550420694,0,0,0,1,2,14,1,3,2,3,0,3,3,0,4,0,2
680.0,3400.0,49,255.0,0.9732824427480916,7.981029755850397,0,3,0,3,0,11,6,5,4,3,0,3,3,0,0,0,8
685.0,3425.0,60,322.0,1.2432432432432432,7.20581011963732,0,6,1,9,1,2,6,7,4,5,6,1,2,0,0,1,9
690.0,3450.0,54,306.0,1.1333333333333333,6.786793834635236,0,3,4,5,0,5,5,4,2,5,12,3,1,0,0,1,4
695.0,3475.0,67,517.0,1.8664259927797835,7.232145128251451,0,2,5,4,1,6,8,8,6,5,12,3,1,1,0,2,3
700.0,3500.0,57,393.0,1.3789473684210527,7.43178563755688,0,3,0,7,5,2,2,8,8,2,6,0,3,2,5,0,4
705.0,3525.0,44,332.0,1.1942446043165467,7.816104228910984,0,1,0,8,3,5,0,8,3,4,3,0,0,2,5,0,2
710.0,3550.0,59,424.0,1.5588235294117647,8.3276299723601,0,3,0,8,6,9,5,2,4,5,6,1,0,2,2,0,6
715.0,3575.0,75,534.0,1.992537313432836,6.9604466737366435,0,6,2,3,6,9,6,4,4,7,5,2,2,2,4,1,12
720.0,3600.0,74,644.0,2.4029850746268657,6.22055396776738,0,3,3,1,6,9,5,7,1,3,7,6,2,4,4,1,12
725.0,3625.0,66,559.0,1.98932384341637,6.7986376618240945,0,3,3,2,6,4,8,11,4,0,13,0,0,1,0,3,8
730.0,3650.0,58,372.0,1.273972602739726,7.3570815161157785,0,6,0,2,4,2,10,5,9,1,9,0,0,0,2,5,3
735.0,3675.0,61,335.0,1.1241610738255035,6.953574636484975,0,10,0,1,1,5,5,0,8,4,7,3,0,1,7,6,3
740.0,3700.0,52,345.0,1.1694915254237288,6.671388284192409,0,10,0,2,1,4,1,0,8,0,9,2,2,0,7,3,3
745.0,3725.0,61,350.0,1.206896551724138,7.085428266792584,0,6,0,2,1,8,7,0,10,1,8,3,8,0,6,0,1
750.0,3750.0,59,401.0,1.4169611307420495,7.801208273562215,0,0,0,2,1,12,8,1,4,3,1,5,9,0,7,0,6
755.0,3775.0,42,336.0,1.2,7.606109869908948,0,2,0,0,0,12,2,2,1,0,3,5,4,0,1,2,8
760.0,3800.0,45,301.0,1.0711743772241993,7.227102348777907,0,5,1,5,0,6,6,0,1,0,2,0,5,0,1,1,12
765.0,3825.0,68,352.0,1.2526690391459074,6.953023002277969,0,1,4,11,0,2,13,1,2,0,7,0,7,0,6,4,10
770.0,3850.0,72,386.0,1.3687943262411348,7.267303697937529,0,6,6,12,0,3,12,1,6,0,9,0,1,1,6,4,5
775.0,3875.0,60,383.0,1.3876811594202898,7.497810186953905,0,7,4,3,0,5,2,0,8,1,12,1,2,5,0,2,8
780.0,3900.0,63,457.0,1.673992673992674,7.478389324634406,0,8,6,4,0,6,2,0,4,2,7,2,7,2,0,5,8
785.0,3925.0,49,292.0,1.0774907749077491,7.089030136574093,0,5,6,2,0,4,4,2,4,3,0,3,3,1,5,5,2
790.0,3950.0,50,299.0,1.0833333333333333,7.543720989480868,0,1,6,5,0,2,6,7,4,7,1,0,2,1,2,1,5
795.0,3975.0,52,338.0,1.2028469750889679,7.520325114392257,0,4,0,8,0,2,6,6,0,8,4,1,6,0,1,1,5
800.0,4000.0,66,351.0,1.202054794520548,6.672140386356144,0,2,4,9,0,2,10,2,2,2,5,3,12,0,7,4,2
805.0,4025.0,72,456.0,1.5510204081632653,6.600308841968755,0,4,9,5,0,4,16,2,7,0,4,0,10,0,6,2,3
810.0,4050.0,82,617.0,2.10580204778157,6.599046756122023,0,7,10,11,0,2,22,0,5,2,6,1,6,0,4,3,3
815.0,4075.0,79,572.0,1.8940397350993377,6.868454809578677,0,3,6,6,0,5,23,2,4,6,7,3,7,0,4,3,0
820.0,4100.0,70,436.0,1.4581939799331103,6.6362893439508985,0,2,0,3,0,8,16,6,4,8,4,1,3,0,9,5,1
825.0,4125.0,54,285.0,0.9531772575250836,7.127216583902743,0,5,0,4,0,7,8,6,0,4,0,4,3,0,5,2,6
830.0,4150.0,54,279.0,0.9147540983606557,7.597853756195447,0,4,3,3,1,2,5,1,2,6,0,4,5,6,1,4,7
835.0,4175.0,62,401.0,1.293548387096774,6.784845196487199,0,3,4,6,2,2,5,6,2,7,2,0,6,7,1,7,2
840.0,4200.0,74,350.0,1.1182108626198084,6.029655310280556,0,7,5,11,3,2,2,6,2,3,7,4,8,3,7,2,2
