sim_step,simulation_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_mean_queue_length,queue_length_0,queue_length_1,queue_length_10,queue_length_11,queue_length_12,queue_length_13,queue_length_14,queue_length_15,queue_length_2,queue_length_3,queue_length_4,queue_length_5,queue_length_6,queue_length_7,queue_length_8,queue_length_9
5.0,25.0,0,0.0,0.0,13.604229970488246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,50.0,0,0.0,0.0,12.97120068194293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,75.0,2,5.0,0.10869565217391304,11.345383368974403,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20.0,100.0,3,13.0,0.22413793103448276,10.341099254720442,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
25.0,125.0,4,10.0,0.14705882352941177,10.471814977100658,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
30.0,150.0,13,56.0,0.7,10.299787308095837,0,5,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0
35.0,175.0,11,51.0,0.5368421052631579,9.204923743240995,0,1,0,0,0,0,0,0,0,1,5,0,2,0,1,0,1
40.0,200.0,15,64.0,0.5765765765765766,8.76492019080214,0,1,0,0,0,0,0,0,0,4,1,1,6,0,1,0,1
45.0,225.0,28,164.0,1.2148148148148148,9.36752697200046,0,4,1,0,0,0,0,0,0,5,0,3,11,0,0,0,4
50.0,250.0,18,102.0,0.6891891891891891,8.37069276262804,0,0,3,0,0,0,1,1,0,0,0,2,5,0,0,1,5
55.0,275.0,33,169.0,1.0119760479041917,8.3786930513675,0,3,5,0,0,0,5,0,0,0,0,5,0,0,0,5,10
60.0,300.0,44,284.0,1.5865921787709498,8.492367498919903,0,6,9,0,0,0,7,1,0,0,1,7,0,0,0,8,5
65.0,325.0,32,174.0,0.90625,8.087292711323123,0,8,6,0,0,2,4,4,0,0,2,3,0,1,0,2,0
70.0,350.0,30,137.0,0.6555023923444976,8.664411667095356,0,4,6,0,3,3,0,5,1,0,0,2,0,6,0,0,0
75.0,375.0,40,216.0,0.96,7.932593694784726,0,2,9,0,3,3,2,0,2,1,2,4,0,11,1,0,0
80.0,400.0,55,340.0,1.4592274678111588,6.946210837402321,0,5,11,0,5,0,6,1,0,1,7,4,0,11,3,1,0
85.0,425.0,64,448.0,1.8436213991769548,7.0508290991887135,0,6,6,0,7,2,5,7,0,1,9,7,0,9,4,1,0
90.0,450.0,56,385.0,1.515748031496063,7.4104413371249525,0,7,1,0,7,4,1,6,0,1,7,4,0,10,2,4,2
95.0,475.0,52,288.0,1.1566265060240963,7.236066832891127,0,3,5,2,1,6,1,0,0,1,1,8,2,6,4,9,3
100.0,500.0,54,313.0,1.2570281124497993,7.146811049799204,0,1,2,6,0,5,0,0,0,3,0,12,4,8,4,6,3
105.0,525.0,51,272.0,1.0421455938697317,7.390351430458136,0,3,0,6,2,6,2,0,0,3,0,10,4,10,2,2,1
110.0,550.0,53,335.0,1.2316176470588236,7.599415037714721,0,4,1,0,2,10,6,0,1,1,0,5,1,11,6,2,3
115.0,575.0,66,355.0,1.2724014336917562,7.063501599768293,0,1,7,0,0,6,4,1,7,4,0,7,6,6,13,1,3
120.0,600.0,71,328.0,1.1508771929824562,6.518634285929366,0,4,7,0,0,6,4,1,11,2,1,6,6,0,15,7,1
125.0,625.0,72,417.0,1.4529616724738676,7.629420210338716,0,7,2,3,0,6,10,2,5,0,3,3,1,2,11,10,7
130.0,650.0,55,398.0,1.4686346863468636,7.710284969169061,0,2,0,6,0,3,11,0,0,0,5,5,3,0,5,6,9
135.0,675.0,51,363.0,1.369811320754717,7.1765519125064134,0,2,2,1,0,5,11,3,0,0,8,6,4,2,2,2,3
140.0,700.0,67,510.0,1.9465648854961832,6.958747754032858,0,2,6,4,0,10,11,4,0,1,6,3,0,7,7,2,4
145.0,725.0,91,682.0,2.544776119402985,6.497386398938353,0,3,10,6,1,7,11,9,2,5,0,5,4,12,10,2,4
150.0,750.0,73,608.0,2.2771535580524342,6.444970424596359,0,5,9,6,3,3,6,3,2,5,0,5,6,8,10,0,2
155.0,775.0,58,404.0,1.4962962962962962,6.54768595127395,0,0,6,3,3,5,2,0,2,2,1,6,6,1,10,2,9
160.0,800.0,59,371.0,1.339350180505415,7.369861168332228,0,2,5,8,0,1,2,0,2,0,1,2,6,1,13,4,12
165.0,825.0,48,326.0,1.1941391941391941,7.687161837799094,0,2,8,9,3,1,2,1,2,1,1,0,0,1,9,0,8
170.0,850.0,52,416.0,1.5072463768115942,7.324363973465405,0,4,3,9,3,6,5,2,2,1,2,1,0,2,8,0,4
175.0,875.0,66,490.0,1.7253521126760563,6.862238247133858,0,2,2,9,3,7,9,7,0,3,2,7,0,8,3,0,4
180.0,900.0,78,612.0,2.13986013986014,6.8063706265481105,0,3,2,7,3,3,13,12,1,5,2,4,0,12,7,0,4
185.0,925.0,77,611.0,2.078231292517007,6.655156280580121,0,4,0,4,1,5,14,18,6,3,4,0,0,8,9,0,1
190.0,950.0,69,593.0,2.030821917808219,6.658530720232189,0,6,1,0,4,1,14,12,6,5,1,1,4,6,4,0,4
195.0,975.0,76,691.0,2.3664383561643834,7.1667716077035655,0,4,4,1,4,1,14,2,6,5,6,2,4,11,4,1,7
200.0,1000.0,67,575.0,1.9827586206896552,6.880614145773834,0,3,4,6,2,1,10,0,6,4,8,0,0,7,4,3,9
205.0,1025.0,67,413.0,1.4047619047619047,7.006336711409591,0,5,6,13,6,0,6,1,2,5,2,0,0,5,4,8,4
210.0,1050.0,68,376.0,1.2575250836120402,7.162866594822084,0,1,1,9,7,4,3,7,6,6,1,3,0,10,0,4,6
215.0,1075.0,52,319.0,1.042483660130719,7.025990207463805,0,0,0,1,1,4,2,12,6,7,2,0,0,5,2,1,9
220.0,1100.0,65,389.0,1.2712418300653594,7.482583920224807,0,2,0,1,5,6,7,12,0,8,4,3,1,4,2,1,9
225.0,1125.0,73,441.0,1.4180064308681672,7.480319135346172,0,2,0,1,6,2,12,7,7,10,2,6,5,5,2,3,3
230.0,1150.0,59,368.0,1.2225913621262459,7.465924442055816,0,5,2,0,1,1,6,6,9,6,2,1,5,5,0,6,4
235.0,1175.0,61,412.0,1.4405594405594406,7.385896345891371,0,6,3,6,6,1,0,1,3,4,2,0,5,5,0,9,10
240.0,1200.0,79,654.0,2.3028169014084505,7.180864355458047,0,3,6,7,12,0,0,5,0,7,2,1,5,10,0,11,10
245.0,1225.0,57,432.0,1.4448160535117056,6.759273551394293,0,3,1,2,8,2,2,7,0,8,4,0,2,7,0,6,5
250.0,1250.0,54,265.0,0.8717105263157895,6.84433417567803,0,6,0,1,1,3,6,13,2,6,4,2,0,0,6,0,4
255.0,1275.0,70,457.0,1.4694533762057878,7.3881383769981,0,3,2,1,4,1,12,17,5,3,4,6,0,0,8,0,4
260.0,1300.0,56,435.0,1.4123376623376624,6.8992307265243165,0,1,0,1,5,1,8,11,5,3,6,3,1,0,9,2,0
265.0,1325.0,64,470.0,1.5666666666666667,7.095451523518074,0,3,2,5,9,1,4,1,5,1,7,0,6,2,9,5,4
270.0,1350.0,76,562.0,1.8859060402684564,6.9136593107804245,0,4,6,9,10,1,4,0,5,6,3,0,6,7,5,0,10
